,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,parking,property_type,date_available,weekly_cost,address,suburb,postcode,beds,baths,latitude,longitude,dist_to_city,dist_to_education,dist_to_parks_and_gardens,dist_to_train_station,dist_to_shopping,dist_to_healthcare,SA2_CODE21,SA2_NAME21,GCC_NAME21
98,98,98,98,5,House,2024,450.0,19 hurd street,portland,3305.0,3,2,-38.3497712,141.6005136,100.0518,0.38595,0.77324,86.18095,0.43604,1.03131,217011422,Portland,Rest of Vic.
99,99,99,99,4,House,2024,540.0,22 longfin crescent,san remo,3925.0,4,3,-38.5227539,145.3765471,123.39888,2.12323,0.78058,94.04788,1.83894,18.66064,205031093,Wonthaggi - Inverloch,Rest of Vic.
100,100,100,100,3,House,2024,360.0,15 hyacinth grove,wendouree,3355.0,2,1,-37.5270782,143.822063,6.89195,0.26185,0.34555,2.59281,1.30952,3.3558600000000003,201011008,Wendouree - Miners Rest,Rest of Vic.
101,101,101,101,1,House,2024,450.0,29 ferndale parade,highton,3216.0,3,1,-38.17086440000001,144.3240831,5.52425,0.96904,0.25453,4.38063,0.29299,2.40856,203021042,Highton,Rest of Vic.
102,102,102,102,1,Unit,2024,370.0,1/263a maude street,shepparton,3630.0,2,1,-36.3820963,145.4008707,0.34146,0.92204,0.81169,1.22712,0.10109,0.31382,216031594,Shepparton - South East,Rest of Vic.
103,103,103,103,0,House,2024,460.0,412a lydiard street north north,soldiers hill,3350.0,3,2,-37.5521316,143.8598418,1.42003,0.41484,0.59912,0.8311499999999999,1.14391,0.38872,201011482,Ballarat North - Invermay,Rest of Vic.
104,104,104,104,4,House,2024,550.0,63 strathclyde crescent,woodend,3442.0,2,2,-37.3856183,144.5206067,68.16825,4.37674,6.42005,3.76299,3.72586,7.79187,202021031,Woodend,Rest of Vic.
105,105,105,105,1,House,2024,585.0,25 little street,daylesford,3460.0,3,2,-37.3341871,144.1461804,43.8066,1.4636,1.01977,1.74922,1.00668,0.33075,201021011,Daylesford,Rest of Vic.
106,106,106,106,2,House,2024,460.0,20 gooch court,wheatsheaf,3461.0,3,1,-37.3142229,144.2209973,50.86508,7.64919,8.657860000000001,9.2208,7.8179,8.18475,201021011,Daylesford,Rest of Vic.
107,107,107,107,1,Unit,2024,370.0,219 merriang south road,merriang south,3737.0,2,1,-36.5921523,146.6818009,72.3192,7.106229999999999,5.292979999999999,53.31376,6.20577,6.95192,204031071,Myrtleford,Rest of Vic.
108,108,108,108,2,House,2024,550.0,12 italianate street,charlemont,3217.0,4,2,-38.2216511,144.3669069,9.1406,1.2455999999999998,1.14639,3.69341,1.6776,5.0018400000000005,203021485,Charlemont,Rest of Vic.
109,109,109,109,1,House,2024,340.0,44 ontario avenue,corio,3214.0,3,1,-38.0779287,144.3601646,8.75859,0.7803,0.2099,3.01458,0.7980700000000001,1.4205,203021486,Corio - Lovely Banks,Rest of Vic.
110,110,110,110,0,Unit,2024,580.0,2/2-4 queen st,bendigo,3550.0,2,1,-36.7601775,144.2815026,0.171,1.27998,0.24761,1.09458,0.1624499999999999,0.51746,202011018,Bendigo,Rest of Vic.
111,111,111,111,4,House,2024,390.0,14 murrell avenue,portland,3305.0,4,1,-38.3289591,141.5959329,97.89557,3.4544,1.4749,84.02472,2.88541,2.14333,217011422,Portland,Rest of Vic.
112,112,112,112,1,Townhouse,2024,410.0,25a paratone crescent,st albans park,3219.0,2,1,-38.1936069,144.3953309,7.07173,2.4463000000000004,0.96097,7.7725,2.48814,2.34797,203021045,Newcomb - Moolap,Rest of Vic.
113,113,113,113,1,Unit,2024,410.0,3/172 roslyn road,belmont,3216.0,2,1,-38.1731795,144.3269131,5.17207,0.30044,0.76995,4.02844,0.45423,1.68995,203021037,Belmont,Rest of Vic.
114,114,114,114,2,House,2024,520.0,28 palm avenue,paynesville,3880.0,3,2,-37.9036319,147.7116169,128.77432000000002,1.66805,3.0561,14.52683,2.91869,3.07579,205021086,Paynesville,Rest of Vic.
115,115,115,115,1,Unit,2024,430.0,1/38 oak street,seymour,3660.0,2,1,-37.0250537,145.1452684,80.48292,1.3113,0.98066,1.37027,0.90698,1.6762,204011059,Seymour,Rest of Vic.
116,116,116,116,2,House,2024,460.0,23 link avenue,kilmore,3764.0,3,2,-37.30310559999999,144.963424,71.57075,1.82368,0.70569,5.2621,2.82913,0.76646,204011056,Kilmore - Broadford,Rest of Vic.
117,117,117,117,1,Unit,2024,320.0,2/8-10 john street,traralgon,3844.0,1,1,-38.19177699999999,146.5486156,1.24402,1.91803,0.82357,1.34101,1.07342,1.43567,205041493,Traralgon - East,Rest of Vic.
118,118,118,118,1,Unit,2024,350.0,9/10 fitzroy street,geelong,3220.0,1,1,-38.1493639,144.3707998,1.30527,1.92325,0.1573899999999999,2.08788,0.80355,0.60712,203021039,Geelong,Rest of Vic.
